#va	size	idbname	ported	port_syms	attempted	att_syms
0x221b70	0x64	sub_221B70	-	-	Y	pageClose
0x221bd8	0x60	sub_221BD8	-	-	Y	pageCursorDown
0x221c38	0x5c	sub_221C38	-	-	Y	pageCursorUp
0x221c98	0x38	sub_221C98	-	-	Y	pageEnter
0x221cd0	0x70	sub_221CD0	-	-	-	-
0x221d40	0x38	sub_221D40	-	-	Y	pageSquare
0x221d78	0x43c	sub_221D78	-	-	-	-
0x2221b8	0x21c	sub_2221B8	-	-	-	-
0x2223d8	0x180	sub_2223D8	-	-	-	-
0x222558	0x160	sub_222558	-	-	-	-
0x2226b8	0xe0	sub_2226B8	-	-	-	-
0x222798	0x44	sub_222798	-	-	Y	pageItemCursorHook
0x2227e0	0x64	sub_2227E0	-	-	-	-
0x222848	0x68	sub_222848	-	-	-	-
0x2228b0	0x40	sub_2228B0	-	-	Y	pageItemChanged
0x2228f0	0x30	sub_2228F0	-	-	Y	pageItemInit
0x222920	0x94	sub_222920	-	-	-	-
0x2229b8	0xa8	sub_2229B8	-	-	-	-
0x222a60	0xe0	sub_222A60	-	-	-	-
0x222b40	0xc8	sub_222B40	-	-	-	-
0x222c08	0xa8	sub_222C08	-	-	-	-
0x222cb0	0x3c4	sub_222CB0	-	-	-	-
0x223078	0x54c	sub_223078	-	-	-	-
0x2235c8	0x88	sub_2235C8	-	-	-	-
0x223650	0x8	sub_223650	-	-	-	-
0x223658	0x24	(ida-missed)	-	-	-	-
0x223680	0x34	sub_223680	-	-	-	-
0x2236b8	0xd4	sub_2236B8	-	-	-	-
0x223790	0xc	sub_223790	-	-	Y	getClockAnim
0x2237a0	0xd4	(ida-missed)	-	-	-	-
0x223878	0xc0	(ida-missed)	-	-	-	-
0x223938	0x150	(ida-missed)	-	-	-	-
0x223a88	0x184	(ida-missed)	-	-	-	-
0x223c10	0x3c4	(ida-missed)	-	-	-	-
0x223fd8	0x144	(ida-missed)	-	-	-	-
0x224120	0x9c	sub_224120	-	-	-	-
0x2241c0	0xc4	sub_2241C0	-	-	-	-
0x224288	0x3a8	sub_224288	-	-	-	-
0x224630	0x734	sub_224630	-	-	-	-
0x224d68	0xc	sub_224D68	-	-	Y	getWizardAnim
0x224d78	0x274	(ida-missed)	-	-	-	-
0x224ff0	0x44	(ida-missed)	-	-	-	-
0x225038	0x2d4	loadImage_Resource_225038	-	-	-	-
0x225310	0x8	sub_225310	-	-	-	-
0x225318	0x108	sub_225318	-	-	-	-
0x225420	0x104	sub_225420	DEFN	menu:InitOrbAngles	-	-
0x225528	0x7c	sub_225528	-	-	-	-
0x2255a8	0x7c	sub_2255A8	-	-	-	-
0x225628	0x250	sub_225628	DEFN	menuconfig:CarouselClock,menu:-	-	-
0x225878	0x100	sub_225878	-	-	-	-
0x225978	0x1c	sub_225978	-	-	-	-
0x225998	0x138	sub_225998	DEFN	menu:InitOrbPhases	-	-
0x225ad0	0x94	sub_225AD0	DEFN	menuconfig:CarouselOpen,menuconfig:-	-	-
0x225b68	0x8c	sub_225B68	-	-	-	-
0x225bf8	0xf4	sub_225BF8	DEFN	menuconfig:MenuConfigCarousel,menu:-	-	-
0x225cf0	0x28	sub_225CF0	DEFN	menu:SceneReset	-	-
0x225d18	0x28	sub_225D18	DEFN	menu:SceneDepth	-	-
0x225d40	0x98	(ida-missed)	DEFN	menu:SceneInsert	-	-
0x225dd8	0xf4	sub_225DD8	REF	menu:-	-	-
0x225ed0	0xb0	sub_225ED0	DEFN	menu:SceneAddOrb	-	-
0x225f80	0xa8	sub_225F80	DEFN	menuconfig:CarouselMatrix	-	-
0x226028	0x18c	sub_226028	DEFN	menuconfig:MenuConfigEmit,menu:-	-	-
0x2261b8	0x1a8	sub_2261B8	-	-	-	-
0x226360	0x380	sub_226360	DEFN	menu:DrawOrbRecord	-	-
0x2266e0	0x1c	sub_2266E0	REF	menu:-,menuconfig:-	-	-
0x226700	0x68	sub_226700	DEFN	menu:SceneWalk	-	-
0x226768	0x7c	sub_226768	-	-	-	-
0x2267e8	0x108	sub_2267E8	REF	menu:-	-	-
0x2268f0	0x58	sub_2268F0	DEFN	menuconfig:MenuConfigCarouselActive,menu:-	-	-
0x226948	0x8	sub_226948	-	-	Y	getPageIndex,getTransitionPhase
0x226950	0x2c	sub_226950	-	-	-	-
0x226980	0x70	sub_226980	-	-	-	-
0x2269f0	0x54	sub_2269F0	-	-	-	-
0x226a48	0x14	sub_226A48	-	-	Y	isSysCfgOpen,screenIsOne
0x226a60	0xc4	sub_226A60	DEFN	menuconfig:MenuConfigAlpha,menutext:-	-	-
0x226b28	0x44	sub_226B28	REF	menuconfig:-	-	-
0x226b70	0x44	sub_226B70	-	-	-	-
0x226bb8	0x13c	sub_226BB8	DEFN	menuconfig:MenuConfigCubeState,menutext:-,menutext:-,menutext:-	-	-
0x226cf8	0x8	sub_226CF8	-	-	-	-
0x226d00	0x2a4	sub_226D00	-	-	-	-
0x226fa8	0x28	sub_226FA8	REF	menu:-,menuconfig:-	-	-
0x226fd0	0x58	sub_226FD0	-	-	-	-
0x227028	0x68	sub_227028	-	-	-	-
0x227090	0x70	sub_227090	-	-	-	-
0x227100	0x94	sub_227100	-	-	-	-
0x227198	0x20	sub_227198	-	-	-	-
0x2271b8	0xac	sub_2271B8	REF	menutext:-	-	-
0x227268	0x88	sub_227268	REF	menu:-,menuconfig:-	-	-
0x2272f0	0x44	sub_2272F0	-	-	-	-
0x227338	0x58	sub_227338	-	-	-	-
0x227390	0x1d0	sub_227390	REF	menutext:-,menutext:-,menutext:-	-	-
0x227560	0x458	sub_227560	REF	menutext:-,menutext:-,menutext:-,menutext:-,menutext:-	-	-
0x2279b8	0x230	(ida-missed)	REF	menutext:-,menutext:-	-	-
0x227be8	0x120	(ida-missed)	-	-	-	-
0x227d08	0xe0	sub_227D08	REF	menutext:-	-	-
0x227de8	0x30	sub_227DE8	DEFN	menuconfig:MenuConfigStep,menu:-,menutext:-	-	-
0x227e18	0xf0	sub_227E18	REF	menutext:-,menutext:-	-	-
0x227f08	0x44	sub_227F08	-	-	-	-
