# MODULE U INVENTORY MATRIX
# va | size | idb name | osdbits port fn | port-vs-ROM verdict | matching/ state
#
# 'port-vs-ROM verdict' is the EXISTING osdbits function compiled with
# the retail compiler and compared at the annotated ROM address
# (baseline.py).  'matching/ state' is Y where matching/*-functions.txt
# already attempts the address.
0x224630	0x734 	sub_224630            	-                                       	-                             	-
0x224d68	0xc   	sub_224D68            	-                                       	-                             	Y
0x224d78	0x274 	(ida-missed)          	-                                       	-                             	-
0x224ff0	0x44  	(ida-missed)          	-                                       	-                             	-
0x225038	0x2d4 	loadImage_Resource_225038	-                                       	-                             	-
0x225310	0x8   	sub_225310            	-                                       	-                             	-
0x225318	0x108 	sub_225318            	-                                       	-                             	-
0x225420	0x104 	sub_225420            	menu:InitOrbAngles                      	menu/InitOrbAngles=far        	-
0x225528	0x7c  	sub_225528            	-                                       	-                             	-
0x2255a8	0x7c  	sub_2255A8            	-                                       	-                             	-
0x225628	0x250 	sub_225628            	menuconfig:CarouselClock,menu:-         	menuconfig/CarouselClock=far  	-
0x225878	0x100 	sub_225878            	-                                       	-                             	-
0x225978	0x1c  	sub_225978            	-                                       	-                             	-
0x225998	0x138 	sub_225998            	menu:InitOrbPhases                      	menu/InitOrbPhases=far        	-
0x225ad0	0x94  	sub_225AD0            	menuconfig:CarouselOpen,menuconfig:-    	menuconfig/CarouselOpen=far   	-
0x225b68	0x8c  	sub_225B68            	-                                       	-                             	-
0x225bf8	0xf4  	sub_225BF8            	menuconfig:MenuConfigCarousel,menu:-    	menuconfig/MenuConfigCarousel=	-
0x225cf0	0x28  	sub_225CF0            	menu:SceneReset                         	menu/SceneReset=far           	-
0x225d18	0x28  	sub_225D18            	menu:SceneDepth                         	menu/SceneDepth=far           	-
0x225d40	0x98  	(ida-missed)          	menu:SceneInsert                        	menu/SceneInsert=far          	-
0x225dd8	0xf4  	sub_225DD8            	menu:-                                  	-                             	-
0x225ed0	0xb0  	sub_225ED0            	menu:SceneAddOrb                        	menu/SceneAddOrb=far          	-
0x225f80	0xa8  	sub_225F80            	menuconfig:CarouselMatrix               	menuconfig/CarouselMatrix=far 	-
0x226028	0x18c 	sub_226028            	menuconfig:MenuConfigEmit,menu:-        	menuconfig/MenuConfigEmit=far 	-
0x2261b8	0x1a8 	sub_2261B8            	-                                       	-                             	-
0x226360	0x380 	sub_226360            	menu:DrawOrbRecord                      	menu/DrawOrbRecord=far        	-
0x2266e0	0x1c  	sub_2266E0            	menu:-,menuconfig:-                     	-                             	-
0x226700	0x68  	sub_226700            	menu:SceneWalk                          	menu/SceneWalk=close          	-
0x226768	0x7c  	sub_226768            	-                                       	-                             	-
0x2267e8	0x108 	sub_2267E8            	menu:-                                  	-                             	-
0x2268f0	0x58  	sub_2268F0            	menuconfig:MenuConfigCarouselActive,menu	menuconfig/MenuConfigCarouselA	-
0x226948	0x8   	sub_226948            	-                                       	-                             	Y
0x226950	0x2c  	sub_226950            	-                                       	-                             	-
0x226980	0x70  	sub_226980            	-                                       	-                             	-
0x2269f0	0x54  	sub_2269F0            	-                                       	-                             	-
0x226a48	0x14  	sub_226A48            	-                                       	-                             	Y
0x226a60	0xc4  	sub_226A60            	menuconfig:MenuConfigAlpha,menutext:-   	menuconfig/MenuConfigAlpha=far	-
0x226b28	0x44  	sub_226B28            	menuconfig:-                            	-                             	-
0x226b70	0x44  	sub_226B70            	-                                       	-                             	-
0x226bb8	0x13c 	sub_226BB8            	menuconfig:MenuConfigCubeState,menutext:	menuconfig/MenuConfigCubeState	-
0x226cf8	0x8   	sub_226CF8            	-                                       	-                             	-
0x226d00	0x2a4 	sub_226D00            	-                                       	-                             	-
0x226fa8	0x28  	sub_226FA8            	menu:-,menuconfig:-                     	-                             	-
0x226fd0	0x58  	sub_226FD0            	-                                       	-                             	-
0x227028	0x68  	sub_227028            	-                                       	-                             	-
0x227090	0x70  	sub_227090            	-                                       	-                             	-
0x227100	0x94  	sub_227100            	-                                       	-                             	-
0x227198	0x20  	sub_227198            	-                                       	-                             	-
0x2271b8	0xac  	sub_2271B8            	menutext:-                              	-                             	-
0x227268	0x88  	sub_227268            	menu:-,menuconfig:-                     	-                             	-
0x2272f0	0x44  	sub_2272F0            	-                                       	-                             	-
0x227338	0x58  	sub_227338            	-                                       	-                             	-
0x227390	0x1d0 	sub_227390            	menutext:-,menutext:-,menutext:-        	-                             	-
0x227560	0x458 	sub_227560            	menutext:-,menutext:-,menutext:-,menutex	-                             	-
0x2279b8	0x230 	(ida-missed)          	menutext:-,menutext:-                   	-                             	-
0x227be8	0x120 	(ida-missed)          	-                                       	-                             	-
0x227d08	0xe0  	sub_227D08            	menutext:-                              	-                             	-
0x227de8	0x30  	sub_227DE8            	menuconfig:MenuConfigStep,menu:-,menutex	menuconfig/MenuConfigStep=far 	-
0x227e18	0xf0  	sub_227E18            	menutext:-,menutext:-                   	-                             	-
0x227f08	0x44  	sub_227F08            	-                                       	-                             	-
0x227f50	0x6c  	sub_227F50            	-                                       	-                             	-
0x227fc0	0x8c  	sub_227FC0            	menuconfig:MenuConfigOpen               	menuconfig/MenuConfigOpen=far 	-
0x228050	0xc0  	sub_228050            	menutext:MainMenuStep                   	menutext/MainMenuStep=far     	-
0x228110	0x164 	sub_228110            	menutext:DrawMainMenu,menutext:-,menutex	menutext/DrawMainMenu=far     	-
0x228278	0x124 	sub_228278            	menutext:-                              	-                             	-
0x2283a0	0x30  	sub_2283A0            	menutext:MenuTextFrame                  	menutext/MenuTextFrame=far    	-
0x2283d0	0x20  	sub_2283D0            	menu:-,menuback:-                       	-                             	Y
0x2283f0	0x6c  	sub_2283F0            	menu:-                                  	-                             	-
0x228460	0x160 	sub_228460            	menuconfig:-,menuconfig:-,menuconfig:-,m	-                             	-
0x2285c0	0x9c  	sub_2285C0            	menuconfig:-                            	-                             	-
0x228660	0xa8  	sub_228660            	menutext:-                              	-                             	-
0x228708	0x9c  	sub_228708            	menutext:ConfigMenuWidest,menutext:-    	menutext/ConfigMenuWidest=far 	-
0x2287a8	0x8   	sub_2287A8            	-                                       	-                             	-
0x2287b0	0x20  	sub_2287B0            	-                                       	-                             	Y
0x2287d0	0x10  	sub_2287D0            	menuback:-                              	-                             	Y
0x2287e0	0x58  	sub_2287E0            	menuback:-                              	-                             	-
0x228838	0x60  	sub_228838            	menuback:-                              	-                             	-
0x228898	0x24  	sub_228898            	menuback:-                              	-                             	-
0x2288c0	0x5b4 	sub_2288C0            	-                                       	-                             	-
0x228e78	0x2b4 	sub_228E78            	menuback:-                              	-                             	-
0x229130	0xb8  	sub_229130            	menuback:DrawKabeRibbon                 	menuback/DrawKabeRibbon=far   	-
0x2291e8	0x44  	sub_2291E8            	menuback:-,menuconfig:-                 	-                             	Y
0x229230	0x44  	sub_229230            	-                                       	-                             	Y
0x229278	0x54  	sub_229278            	-                                       	-                             	Y
0x2292d0	0x84  	sub_2292D0            	menuback:DrawKabe                       	menuback/DrawKabe=far         	-
0x229358	0x88  	sub_229358            	menuback:-                              	-                             	-
0x2293e0	0xd4  	sub_2293E0            	-                                       	-                             	-
0x2294b8	0x1e0 	sub_2294B8            	-                                       	-                             	-
0x229698	0xb8  	TEXTURES_229698       	menu:-                                  	-                             	Y
0x229750	0x50  	setTexCOffset_8b      	-                                       	-                             	Y
0x2297a0	0x18  	getTexC               	-                                       	-                             	Y
0x2297b8	0x18  	getTexCOffset         	-                                       	-                             	Y
0x2297d0	0x18  	sub_2297D0            	-                                       	-                             	Y
0x2297e8	0xc0  	sub_2297E8            	-                                       	-                             	-
0x2298a8	0x114 	sub_2298A8            	-                                       	-                             	-
0x2299c0	0x58  	sub_2299C0            	menutext:osdFlatRect,menuback:-         	menutext/osdFlatRect=far      	Y
0x229a18	0x30  	sub_229A18            	-                                       	-                             	-
0x229a48	0x24  	sub_229A48            	-                                       	-                             	-
0x229a70	0x34  	sub_229A70            	-                                       	-                             	-
0x229aa8	0x8c  	sub_229AA8            	-                                       	-                             	-
0x229b38	0x8c  	sub_229B38            	-                                       	-                             	-
0x229bc8	0x64  	sub_229BC8            	-                                       	-                             	-
0x229c30	0x64  	sub_229C30            	-                                       	-                             	-
0x229c98	0x398 	sub_229C98            	-                                       	-                             	-
0x22a030	0x90  	sub_22A030            	-                                       	-                             	-
0x22a0c0	0xd4  	sub_22A0C0            	menu:-,menuback:-,menuback:-,menuback:-,	-                             	-
0x22a198	0xf4  	sub_22A198            	menuback:-,menuback:-,menuconfig:-      	-                             	-
0x22a290	0x128 	sub_22A290            	menuback:-,menuback:-                   	-                             	-
0x22a3b8	0x110 	sub_22A3B8            	menutext:-,menutext:-                   	-                             	-
0x22a4c8	0x210 	sub_22A4C8            	menuback:-,menuback:-,menuback:-,menucon	-                             	-
0x22a6d8	0x2e0 	sub_22A6D8            	-                                       	-                             	-
0x22a9b8	0xd0  	sub_22A9B8            	menuconfig:-                            	-                             	-
0x22aa88	0x104 	(ida-missed)          	-                                       	-                             	-
0x22ab90	0x7c  	sub_22AB90            	menu:-,menuback:-,menuconfig:-,menuconfi	-                             	-
0x22ac10	0x8   	sub_22AC10            	-                                       	-                             	Y
0x22ac18	0x8   	sub_22AC18            	-                                       	-                             	Y
0x22ac20	0x24  	sub_22AC20            	menu:TimerInterp,menuback:BackTimerInter	menu/TimerInterp=far; menuback	Y
0x22ac48	0x10  	sub_22AC48            	menutext:mtIsState                      	menutext/mtIsState=MATCH      	Y
0x22ac58	0x8   	sub_22AC58            	-                                       	-                             	Y
0x22ac60	0x10  	sub_22AC60            	-                                       	-                             	Y
0x22ac70	0x20  	sub_22AC70            	menu:TimerOpen,menuconfig:cfgOpen,menute	menu/TimerOpen=far; menuconfig	Y
0x22ac90	0x30  	sub_22AC90            	menuconfig:cfgClose,menutext:mtClose    	menuconfig/cfgClose=MATCH; men	Y
0x22acc0	0x64  	sub_22ACC0            	menu:TimerStep,menuback:BackTimerStep,me	menu/TimerStep=far; menuback/B	Y
0x22ad28	0x8   	sub_22AD28            	-                                       	-                             	Y
0x22ad30	0x8   	sub_22AD30            	-                                       	-                             	Y
0x22ad38	0x9c  	sub_22AD38            	-                                       	-                             	-
0x22add8	0xa8  	sub_22ADD8            	menu:FadeArm                            	menu/FadeArm=far              	-
0x22ae80	0x44  	sub_22AE80            	-                                       	-                             	Y
